Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Scan,28:39,Search Results,,,,,Navigation,,Results Window,,
Scan,29:00,HistoryView,Class,,,,Navigation,,Outline Window,,
Show Quick Info,29:46,filteredTasksTableModel,Local Variable,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Highlight,29:50,FilteredTasksTableModel,Class,,,,Navigation,Mouse,Java Editor,,
Open Declaration,29:55,FilteredTasksTableModel,Class,,,Declaration,Navigation,Keyboard,Java Editor,F3,no sources attached
Scan,29:55,FilteredTasksTableModel,Class,,,,Navigation,,Java Editor,,
Show Quick Info,30:08,setTasks,Method,HistoryView,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Quick Info,30:33,FilteredTasksTableModel,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Quick Info,30:46,FilteredTasksTableModel,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Quick Info,31:09,tbTasks,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Write Accesses in Project,31:28,tbTasks,Field,HistoryView,,,Navigation,Mouse,Results Window,1 write reference in project 'Rachota',
References in Project,31:53,tbTasks,Field,HistoryView,,,Navigation,Mouse,Results Window,26 references in project 'Rachota',
Show Instruction,32:00,,Instruction,HistoryView,chbGroupTasksActionPerformed,Reference,Navigation,Mouse,Results Window,,
Scan,32:00,chbGroupTasksActionPerformed,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,32:09,,Instruction,HistoryView,filterTasks,Reference,Navigation,Mouse,Results Window,,
Scan,32:09,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,32:16,,Instruction,HistoryView,HistoryView,Reference,Navigation,Mouse,Results Window,,
Scan,32:16,HistoryView,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,32:28,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,,
Scan,32:16,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Inner Class,32:34,MouseActionAdapter,Class,HistoryView,,Reference,Navigation,Mouse,Results Window,,
Scan,32:34,MouseActionAdapter,Class,HistoryView,,,Navigation,,Java Editor,,
Expand,32:35,MouseActionAdapter,Class,HistoryView,,,Navigation,Mouse,Results Window,,
Show Instruction,32:40,,Instruction,HistoryView,actionPerformed,Reference,Navigation,Mouse,Results Window,,
Scan,32:40,actionPerformed,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,32:52,,Instruction,HistoryView,mouseReleased,Reference,Navigation,Mouse,Results Window,,
Scan,32:52,mouseReleased,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,33:02,,Instruction,HistoryView,saveSetup,Reference,Navigation,Mouse,Results Window,,
Scan,33:02,saveSetup,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,33:17,,Instruction,HistoryView,chbGroupTasksActionPerformed,Reference,Navigation,Mouse,Results Window,,
Scan,33:17,chbGroupTasksActionPerformed,Method,HistoryView,,,Navigation,,Java Editor,,
Open Declaration,33:30,tbTasks,Field,HistoryView,,Class Contains Field,Navigation,Keyboard,Java Editor,F3,
Google JavaDoc for JTable,33:37,,,,,,Other,Both,Internet Explorer,,
Scan,42:28,Search Results,,,,,Navigation,,Results Window,,
Show Quick Info,43:19,tpViews,Field,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Read Accesses in Project,43:30,tpViews,Field,HistoryView,,Reference,Navigation,Mouse,Results Window,5 read references in project 'Rachota',
Show Instruction,43:36,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,
Scan,43:36,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,43:40,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,43:40,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,43:41,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,43:41,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,43:42,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,43:42,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,43:43,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,43:43,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,43:44,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,43:44,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Scan,52:10,HistoryView,Class,,,,Navigation,,Java Editor,,
Show Instruction,53:46,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,
Scan,53:46,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,53:49,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,53:49,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,53:51,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,53:51,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,53:53,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,via Occurrence in java Editor,
Scan,53:53,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Open Declaration,54:30,pnTasks,Field,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Show Instruction,56:22,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:22,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:24,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:24,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:26,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:26,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:28,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:28,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:30,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:30,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:32,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:32,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:34,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:34,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:36,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:36,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:38,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:38,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:40,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:40,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:42,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:42,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,56:44,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Java Editor,via Next Occurence in Search Window,
Scan,56:44,HistoryView,Class,,,,Navigation,,Java Editor,,
Scan,56:49,HistoryView,Class,,,,Navigation,,Outline Window,,
Scan,57:49,HistoryView,Class,,,,Navigation,,Java Editor,,
Edit Code,58:04,HistoryView,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,No Changes in Code,
Switch to Application,58:08,,,,,,Debugging,,Rachota,,
Edit Code,58:38,HistoryView,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,No Changes in Code,
Search,58:56,„period“,String,,,Any File Contains String,Navigation,Both,Find Dialog,0 references in workspace,
Search,58:56,„Period“ ,String,,,Any File Contains String,Navigation,Both,Find Dialog,259 references in workspace,
Scan,59:15,Search Results,,,,,Navigation,,Results Window,,
Expand,59:24,gui,Folder,,,,Navigation,Mouse,Results Window,,
Expand,59:29,HistoryView,Class,,,,Navigation,Mouse,Results Window,,
Show Instruction,59:36,,Instruction,HistoryView,,Instrunction matches String,Navigation,Mouse,Results Window,,
Scan,59:36,HistoryView,Method,HistoryView,,,Navigation,,Java Editor,,
References in Project,59:45,cmbPeriod,Field,HistoryView,,Reference,Navigation,Mouse,Results Window,18 References in Project,
Scan,59:45,Search Results,,,,,Navigation,,Results Window,,
Show Instruction,59:36,,Instruction,HistoryView,cmbPeriodItemStateChanged,Reference,Navigation,Mouse,Results Window,Next Result,
Show Instruction,59:38,,Instruction,HistoryView,cmbPeriodItemStateChanged,Reference,Navigation,Mouse,Results Window,Next Result,
Scan,59:52,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,,Java Editor,,
Open Declaration,00:27,filterTasks,Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,00:27,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,
Show Quick Info,01:17,FiltersTableModel,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Instruction,01:24,,Instruction,HistoryView,cmbPeriodItemStateChanged,Reference,Navigation,Mouse,Results Window,,
Scan,01:24,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,01:26,,Instruction,HistoryView,getDate,Reference,Navigation,Mouse,Results Window,,
Scan,01:26,getDate,Method,HistoryView,,,Navigation,,Java Editor,,
Show Instruction,01:28,,Instruction,HistoryView,getDate,Reference,Navigation,Mouse,Results Window,,
Scan,01:28,getDate,Method,HistoryView,,,Navigation,,Java Editor,,
Show Quick Info,01:53,updateTotalTime,Class,HistoryView,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Instruction,02:04,,Instruction,HistoryView,initComponents,Reference,Navigation,Mouse,Results Window,,
Scan,02:04,initComponents,Method,HistoryView,,,Navigation,,Java Editor,,
Open Type,02:24,HistoryView,Class,,,Reference,Navigation,Mouse,Results Window,,
Scan,02:24,HistoryView,Class,,,,Navigation,,Outline Window,,
Open Type,02:30,<Anonymous ActionListener>,Class,HistoryView,,Reference,Navigation,Mouse,Outline Window,,
Scan,02:30,<Anonymous ActionListener>,Class,HistoryView,,,Navigation,,Java Editor,,
Open Type,02:40,<Anonymous ChangeListener>,Class,HistoryView,,Reference,Navigation,Mouse,Outline Window,,
Scan,02:40,<Anonymous ChangeListener>,Class,HistoryView,,Reference,Navigation,,Java Editor,,
Scan,02:45,HistoryView,Class,,,,Navigation,,Outline Window,,
File Search,03:50,„Add*Task“,String,,,,Navigation,Mouse,Results Window,141 matches in workspace,
Scan,03:54,Search Results,,,,,Navigation,,Results Window,,
Expand,04:02,gui,Folder,,,,Navigation,Mouse,Results Window,,
Scan,04:17,Search Results,,,,,Navigation,,Results Window,,
Show Instruction,04:29,,Instruction,DayView,initComponents,Instrunction matches String,Navigation,Mouse,Results Window,,
Scan,04:29,initComponents,Method,DayView,,,Navigation,,Java Editor,,
Scan,04:40,DayView,Class,,,,Navigation,,Outline Window,,
Show Method,04:55,propertyChange,Method,DayView,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,04:55,propertyChange,Method,DayView,,,Navigation,,Java Editor,,
Scan,05:46,DayView,Class,,,,Navigation,,Outline Window,,
Show Field,05:59,task,Field,DayView,,Class Contains Field,Navigation,Mouse,Outline Window,,
Scan,05:59,DayView,Class,,,,Navigation,,Java Editor,,
Show Method,06:24,btAddActionPerformed,Method,DayView,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,06:24,btAddActionPerformed,Method,DayView,,,Navigation,,Java Editor,,
Open Declaration,06:35,TaskDialog,Class,,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,06:35,TaskDialog,Class,,,,Navigation,,Java Editor,,
Scan,06:48,TaskDialog,Class,,,,Navigation,,Outline Window,,
Scan,07:06,TaskDialog,Class,,,,Navigation,,Java Editor,,
Show Quick Info,07:19,btOK ,Field,TaskDialog,,,Navigation,Mouse,Java Editor,Mouse Hover,
Refrenences in Project,07:24,btOK ,Field,TaskDialog,,Reference,Navigation,Mouse,Results Window,7 references in project 'Rachota',
Show Instruction,07:28,,Instruction,TaskDialog,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,
Show Instruction,07:34,,Instruction,TaskDialog,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,next Result
Show Instruction,07:35,,Instruction,TaskDialog,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,next Result
Show Instruction,07:36,,Instruction,TaskDialog,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,next Result
Show Instruction,07:37,,Instruction,TaskDialog,initComponents,Reference,Navigation,Mouse,Results Window,via Search Window,next Result
Open Declaration,07:42,btOKActionPerformed,Method,TaskDialog,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,07:42,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Show Quick Info,08:34,firePropertyChange,Method,TaskDialog,,,Navigation,Mouse,Java Editor,Mouse Hover,
Scan,08:42,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Open Declaration,08:50,firePropertyChange,Method,Component,,Declaration,Navigation,Keyboard,Java Editor,F3,no sources attached
Scan,08:50,firePropertyChange,Method,Component,,,Navigation,,Class File Editor,,
Back,09:04,,,,,Navigation History,Navigation,Mouse,Java Editor,,
Scan,09:04,TaskDialog,Class,,,,Navigation,,Java Editor,,
View Online JavaDoc,10:47,JDialog,Class,,,,Other,Both,Internet Explorer,,
Scan,11:39,TaskDialog,Class,,,,Navigation,,Java Editor,,
Edit Code,11:48,TaskDialog,Class,,,,Edit Code,Keyboard,Java Editor,No Changes in Code,
Java Search,11:59,„firePropertyChange“,String,,,Java File Matches String,Navigation,Both,Search Dialog,3 occurrences in 'TaskDialog.java',
Show Instruction,12:21,,Instruction,TaskDialog,btCancelActionPerformed,Instrunction matches String,Navigation, ,Results Window,via Search Window,
Scan,12:21,btCancelActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Show Instruction,12:29,,Instruction,TaskDialog,btOKActionPerformed,Instrunction matches String,Navigation,Mouse,Results Window,via Search Window,
Scan,12:29,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Scan,12:34,TaskDialog,Class,,,,Navigation,,Java Editor,,
Scan,12:43,TaskDialog,Class,,,,Navigation,,Outline Window,,
View Online JavaDoc,12:40,firePropertyChange,Method,JDialog,,,Other,Both,Internet Explorer,,
Show Instruction,13:00,,Instruction,TaskDialog,btOKActionPerformed,Instrunction matches String,Navigation,Mouse,Results Window,via Search Window,
Scan,13:00,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
View Online JavaDoc,13:05,firePropertyChange,Method,JDialog,,,Other,Both,Internet Explorer,,
Scan,13:52,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Java Editor,,
Open type,14:30,DayView,Class,,,,Navigation,Mouse,Java Editor,click on Tab,
Scan,14:30,DayView,Class,,,,Navigation,,Java Editor,,
View Online JavaDoc,15:26,firePropertyChange,Method,JDialog,,,Other,Both,Internet Explorer,,
File Search,15:44,„Work“,String,,,File Matches String,Navigation,Both,Search Dialog,396 matches in workspace,
Scan,15:44,Results,,,,,Navigation,,Results Window,,
Scan,16:03,DayView,Class,,,,Navigation,,Java Editor,,
Scan,16:13,DayView,Class,,,,Navigation,,Outline Window,,
Show Method,16:16,btWorkActionPerformed,Method,DayView,,Class Contains Method,Navigation,Mouse,Outline Window,via Outline Window,
Scan,16:16,btWorkActionPerformed,Method,DayView,,,Navigation,,Outline Window,,
Show Quick Info,16:30,checkButtons,Method,DayView,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Quick Info,16:32,task ,Field,DayView,,,Navigation,Mouse,Java Editor,Mouse Hover,
Highlight,16:35,task ,Field,Day ,,,Navigation,Mouse,Java Editor,,
Open Declaration,16:38,task ,Field,TaskDialog,,Class Contains Field,Navigation,Keyboard,Java Editor,F3,
Scan,16:38,TaskDialog,Class,,,,Navigation,,Java Editor,,
Back,16:45,,,,,Navigation History,Navigation,Mouse,Java Editor,,
Scan,16:45,DayView,Class,,,,Navigation,,Java Editor,,
Show Quick Info,16:59,task ,Field,DayView,,,Navigation,Mouse,Java Editor,Mouse Hover,
Open Declaration,17:00,task ,Field,DayView,,Class Contains Field,Navigation,Keyboard,Java Editor,F3,
Open Declaration,17:03,Task ,Class,,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,17:04,Task ,Class,,,,Navigation,,Java Editor,,
Scan,17:07,DayView,Class,,,,Navigation,,Outline Window,,
Show Method,17:22,addPropertyChangeListener,Method,Task ,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,17:22,addPropertyChangeListener,Method,Task ,,,Navigation,,Outline Window,,
Open Declaration,17:29,PropertyChangeSupport,Field,Task ,,Class Contains Field,Navigation,Keyboard,Java Editor,F3,
Scan,17:29,Task ,Class,,,,Navigation,,Java Editor,,
Open Declaration,17:34,PropertyChangeSupport,Class,,,Declaration,Navigation,Keyboard,Java Editor,F3,no sources attached
Scan,17:34,PropertyChangeSupport,Class,,,,Navigation,,Class File Editor,,
Close Type,17:43,PropertyChangeSupport,Class,,,,Navigation,Mouse,Class File Editor,,
Back,17:43,,,,,Navigation History,Navigation,Mouse,Java Editor,,
Scan,17:45,Task ,Class,,,,Navigation,,Outline Window,,
Scan,18:16,Task ,Class,,,,Navigation,,Java Editor,,
Expand,18:24,Rachota,Project,,,,Navigation,Mouse,Navigator Window,,
Expand,18:26,src,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Expand,18:27,org,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Expand,18:28,cesilko,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Expand,18:29,rachota,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Expand,18:32,gui,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Scan,18:32,Files,,,,,Navigation,Mouse,Navigator Window,,
Expand,18:56,core,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Scan,19:24,Task ,Class,,,,Navigation,,Outline Window,,
Show Quick Info,19:12,PropertyChangeSupport,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Open Type,19:29,DayView,Class,,,,Navigation,Mouse,Java Editor,click on Tab,
Open Type,19:56,Task ,Class,,,,Navigation,Mouse,Java Editor,click on Tab,
Scan,20:00,Task ,Class,,,,Navigation,,Java Editor,,
Show Quick Info,20:08,ClockListener,Interface,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Scan,20:18,Task ,Class,,,,Navigation,,Outline Window,,
Collapse,20:42,core,Source Folder,,,,Navigation,Mouse,Navigator Window,,
Scan,20:46,Files,,,,,Navigation,Mouse,Navigator Window,,
Open Type,20:49,HistoryView,Class,,,Folder Contains Java File,Navigation,Mouse,Navigator Window,,
Scan,21:09,HistoryView,Class,,,,Navigation,,Outline Window,,
Show Method,21:29,filterTasks,Method,HistoryView,,Class Contains Method,Navigation,Mouse,Outline Window,,
Show Method,21:30,setComponents,Method,HistoryView,,Class Contains Method,Navigation,Mouse,Outline Window,,
Show Method,21:31,loadSetup,Method,HistoryView,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,21:31,loadSetup,Method,HistoryView,,,Navigation,,Java Editor,,
Highlight,22:56,filteredTasksTableModel,Field,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,22:56,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,
Show Quick Info,23:44,day ,Local Variable,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Show Quick Info,23:47,Day ,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Open Declaration,23:51,getTasks,Method,Day ,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,23:51,Day ,Class,,,,Navigation,,Java Editor,,
Scan,24:13,Day ,Class,,,,Navigation,,Outline Window,,
Show Method,24:17,addTask,Method,Day ,,Class Contains Method,Navigation,Mouse,Outline Window,,
Open Type,24:49,TaskDialog,Class,,,,Navigation,Mouse,Java Editor,click on Tab,
Scan,25:04,TaskDialog,Class,,,,Navigation,,Outline Window,,
Show Method,25:15,btOKActionPerformed,Method,TaskDialog,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,25:15,btOKActionPerformed,Method,TaskDialog,,,Navigation,,Outline Window,,
Highlight,25:28,day  ,Field,TaskDialog,,,Navigation,Mouse,Java Editor,,
Show Quick Info,25:46,addTask,Method,TaskDialog,,,Navigation,Mouse,Java Editor,Mouse Hover,
Scan,30:22,TaskDialog,Class,,,,Navigation,,Java Editor,,
Open Windows Control Panel,38:02,,,,,,Other,Mouse,Windows,trying to increase screen resolution,
Open Type,39:35,HistoryView,Class,,,,Navigation,Mouse,Java Editor,click on Tab,
Scan,44:50,HistoryView,Class,,,,Navigation,,Outline Window,,
Scan,45:54,HistoryView,Class,,,,Navigation,,Java Editor,,
Highlight,45:56,gridBagConstraints,Local Variable,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,46:24,propertyChnage,Method,HistoryView,,,Navigation,,Java Editor,,
Highlight,46:37,tbTasks,Field,HistoryView,,,Navigation,Mouse,Java Editor,,
Close Eclipse,54:23,,,,,,,,,,
