Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Expand,12:44,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:46,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Expand,12:48,btAddFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:53,btAddFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:55,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:56,btBackwardActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:57,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:58,spPlusStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,12:59,,Comment,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:00,spMinusStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:01,formMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:02,pnTimesMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:03,pnTasksMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:04,PnProjectsMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Expand,13:16,formMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:19,formMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Expand,13:22,pnTimesMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:25,pnTimesMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Expand,13:28,pnTasksMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:28,pnTasksMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,13:28,jtProjectsMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,13:40,HistoryView,Class,,,,Navigation,,Java Editor,,
Local Find,13:50,“historyView = new”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Run ,14:01,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Scan,14:50,Rachota,Project,,,,Navigation,,Package Explorer,,
Expand,14:54,TaskDialog,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Collapse,14:59,TaskDialog,Class,,,,Navigation,Mouse,Package Explorer,,
Local Find,15:18,“pnTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,15:20,“pnTasks”,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,,
Find Next,15:22,“pnTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,,
Scan,15:48,HistoryView,Class,,,,Navigation,,Java Editor,,
Local Find,16:02,“pnTasksMouseMoved”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,16:03,“pnTasksMouseMoved”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,16:55,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,16:57,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,16:59,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:01,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:03,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:05,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:07,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:09,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:11,“lbTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,17:13,“pnTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,17:20,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:22,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:23,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:24,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:25,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:29,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:30,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,17:31,“Tools.recordActivity”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,18:34,“cmbPeriodItemStateChanged“,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,18:38,btBackwardActionPerformed,Method,HistoryView,,,Navigation,,Java Editor,,
Find Next,18:41,“cmbPeriodItemStateChanged“,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,18:54,“cmbPeriodItemStateChanged“,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,19:04,“cmbPeriodItemStateChanged“,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Open Type,19:16,MainWindow,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,19:16,MainWindow,Class,,,,Navigation,,Java Editor,,
View Javadoc,19:33,addPropertyChangeListener,Method,java.awt.Container,,,Navigation,Mouse,Java Editor,Mouse hover,
Local Find,19:41,“add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,19:41,“add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,19:42,“add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,19:43,“add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,19:44,“add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,19:53,“Add”,String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,(ignore case)
Local Find,19:56,"“Add” [Case sensitive, Whole word]",String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,no results
Local Find,20:04,"“Add ...” [Case sensitive, Whole word]",String,MainWindow,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,no results
Scan,20:09,MainWindow,Class,,,,Navigation,,Java Editor,,
Expand,20:34,DayView,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Open Type,20:38,DayView,Class,,,,Navigation,Mouse,Package Explorer,,
Open Type,20:49,HistoryView,Class,,,,Navigation,Mouse,Package Explorer,,
Collapse,20:57,cmbPeriodItemStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:02,spPlusStateChanged,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:09,jtProjectsMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:10,pnTasksMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:11,jtProjectsMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:12,spFiltersMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,21:13,spTasksMouseMoved,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,21:25,HistoryView,Class,HistoryView,,,Navigation,,Java Editor,,
Local Find,22:41,“copyPopupMenu”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,22:42,“copyPopupMenu”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,22:42,HistoryView,Class,HistoryView,,,Navigation,,Java Editor,,
View Javadoc,23:01,addMouseListener,Method,java.awt.Container,,,Navigation,Mouse,Java Editor,Mouse hover,
Collapse,23:19,HistoryView,Class,,,,Navigation,Mouse,Package Explorer,,
View Javadoc,23:28,MouseActionAdapter,Class,HistoryView,,,Navigation,Mouse,Java Editor,Mouse hover,
Show Declaration,23:34,MouseActionAdapter,Class,HistoryView,,Declaration,Navigation,Mouse,Java Editor,,
Scan,23:34,MouseActionAdapter,Class,HistoryView,,,Navigation,,Java Editor,,
Edit Code,24:39,actionPerformed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,add syso,
Run ,25:00,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Copy Code,26:24,actionPerformed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,to Notepad,
Edit Code,26:43,actionPerformed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,change syso,
Local Find,26:44,“filterTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,26:51,“void filterTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Run ,27:33,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Local Find,27:57,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,27:58,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,27:59,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:08,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:09,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:10,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:11,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:12,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:13,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:18,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:19,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:20,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,28:21,“actionPerformed(”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Edit Code,28:27,actionPerformed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,remove syso,
Scan,28:37,MouseActionAdapter,Class,HistoryView,,,Navigation,,Java Editor,,
Edit Code,28:27,mousePressed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,add syso,
Run ,29:05,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Edit Code,29:50,mousePressed,Method,HistoryView.MouseActionAdapter,,,Edit Code,Keyboard,Java Editor,undo changes,
Edit Code,30:42,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,add syso,
Run ,31:02,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Local Find,31:24,“counter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Edit Code,31:42,HistoryView,Method,,,,Edit Code,Keyboard,Java Editor,undo changes,
Local Find,31:45,“propertyChnage”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Edit Code,31:52,propertyChange,Method,,,,Edit Code,Keyboard,Java Editor,add field “counter”,
Local Find,32:05,“filterTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Local Find,32:08,“void filterTasks”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Copy Code,32:16,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,to Notepad,
Local Find,32:25,“counter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,32:26,“counter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,32:27,“counter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,32:28,“counter”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Edit Code,36:50,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,no executable code,
Collapse,37:06,DayView,Class,,,,Navigation,Mouse,Package Explorer,,
Expand,37:10,FilteredTasksTableModel,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Edit Code,37:14,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,undo changes → no source code changes,
Open Type,37:27,FilteredTasksTableModel,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
View Javadoc,37:34,AbstractTableModel,Class,,,,Navigation,Mouse,Java Editor,Mouse hover,
Show Declaration,37:36,AbstractTableModel,Class,,,,Navigation,Mouse,Java Editor,no Sources attached,
Open Type,37:41,FilteredTasksTableModel,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Local Find,38:08,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:09,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:10,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:11,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:12,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:13,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Find Next,38:14,“fireTableDataChanged”,String,FilteredTaskstableModel,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,38:14,FilteredTasksTableModel,Class,,,,Navigation,,Java Editor,,
Open Type,38:58,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Run ,39:09,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Edit Code,39:37,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,added filterTasks(); comment out some code; errors in code,
Run ,40:16,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Edit Code,40:38,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,commented out rest of the method,
Run ,40:49,Rachota,Project,,,,Debugging,Mouse,Eclipse,bug fixed...,
Edit Code,42:32,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,added comment; undone some previous changes,
Run ,45:13,Rachota,Project,,,,Debugging,Mouse,Eclipse,verify again,
Edit Code,45:26,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,remove syso,
Edit Code,46:37,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,commented out some code,
Run ,47:19,Rachota,Project,,,,Debugging,Mouse,Eclipse,,
Edit Code,48:58,propertyChange,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,changed comment,
Deactivate Mylyn Task,50:53,,,,,,Other,Mouse,Mylyn TaskList,,
Activate Mylyn Task,50:56,,,,,,Other,Mouse,Mylyn TaskList,,
Deactivate Mylyn Task,51:04,,,,,,Other,Mouse,Mylyn TaskList,,
