Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Find Next,05:08,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:08,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:08,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:08,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:09,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:09,“.setTasks(“,String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:11,“.setTasks(“ [backward],String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:13,“.setTasks(“ [forward],String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Find Next,05:14,“.setTasks(“ [backward],String,HistoryView,,File Contains String,Navigation,Mouse,Java Editor,same search result,
Edit Code,05:18,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,added syso and return; to the top of the method,->compile errors
Run ,05:35,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Run ,05:47,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Edit Code,06:07,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,undo changes,
Run ,06:10,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Edit Code,06:21,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,commented out line + syso,
Run ,06:59,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Edit Code,07:17,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,introduced new field “counter”,
Run ,07:31,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Scan,08:43,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,
Open Type,08:54,MainWindow,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,08:56,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Run ,09:05,Rachota,Project,,,,Debugging,Mouse,Eclipse,compile errors,
Scan,09:19,HistoryView,Method,HistoryView,,,Navigation,,Java Editor,,
Collapse,09:20,HistoryView,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,09:21,initComponents,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Collapse,09:22,btRemoveFilterActionPerformed,Method,HistoryView,,,Navigation,Mouse,Java Editor,,
Scan,09:28,rbTotalActionPerformed,Method,HistoryView,,,Navigation,,Java Editor,,
Local Find,09:42,“counter++”,String,HistoryView,,File Contains String,Navigation,Keyboard,Java Editor,Ctrl+F,
Scan,09:42,filterTasks,Method,HistoryView,,,Navigation,,Java Editor,,
Edit Code,10:57,filterTasks,Method,HistoryView,,,Edit Code,Keyboard,Java Editor,undo changes,
Scan,11:35,HistoryView,Class,,,,Navigation,,Java Editor,,
Open Type,11:41,MainWindow,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Show Declaration,11:49,addPropertyChangeListener,Method,Container,,Declaration,Navigation,Mouse,Java Editor,no Sources attached,
Close Window,11:57,Container,Class,,,,Navigation,Mouse,Java Editor,,
Open Type,12:07,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,12:08,MainWindow,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,12:09,HistoryView,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Scan,12:16,HistoryView,Class,,,,Navigation,,Java Editor,,
